trip_id,origin_airport,destination,destination_airport,seats,return_flight_booked,departure_time,return_time,checked_bags,trip_airline,destination_airport_lat,destination_airport_lon,base_fare_usd,user_id,trip_cancelled,flight_spend_before_discount_usd,fare_per_seat_usd
149058-0562d645484d450b8908ae40825aaf46,BHM,los angeles,LSQ,1,True,2023-01-09 10:00:00,2023-01-11 10:00:00,0,Ryanair,33.942,-118.408,461.8,149058,False,461.8,461.8
149058-2373ccda96844915a89d20eca33b2bec,BHM,san antonio,SKF,1,True,2023-03-19 10:00:00,2023-03-22 10:00:00,0,United Airlines,29.529,-98.279,202.83,149058,False,202.83,202.83
149058-4948c2bf41744fa7a4ef4970a2d00e10,BHM,new york,JFK,2,True,2023-02-23 16:00:00,2023-03-03 16:00:00,1,Delta Air Lines,40.64,-73.779,494.16,149058,False,494.16,247.08
149058-74e8d20dfe8e46beadee4495c248f210,BHM,austin,AUS,1,True,2023-04-20 09:00:00,2023-04-28 09:00:00,0,Alaska Airlines,30.194,-97.67,190.55,149058,False,190.55,190.55
149058-e23eb6b663ff404f8775d22ddbf8df94,BHM,calgary,YYC,1,True,2023-01-31 16:00:00,2023-02-12 16:00:00,1,WestJet,51.114,-114.02,579.32,149058,False,579.32,579.32
152583-13d70f8ee2ca41c6a49ae3ec2e36a852,COS,toronto,YYZ,1,True,2023-06-14 14:00:00,2023-06-19 14:00:00,2,WestJet,43.862,-79.37,367.83,152583,False,367.83,367.83
153982-0b0c5d9f587d4e3bb8360b41d96a4890,YKZ,new york,LGA,1,True,2023-02-24 12:00:00,2023-02-26 12:00:00,1,Spirit Airlines,40.64,-73.779,100.9,153982,False,100.9,100.9
153982-a950760d74854416b1c854d58999f039,YKZ,baltimore,BWI,1,True,2023-07-31 11:00:00,2023-08-03 11:00:00,0,Spirit Airlines,39.175,-76.668,104.69,153982,False,104.69,104.69
153982-f2187763b9a242f3b923b32ff0e3c7ab,YKZ,calgary,YYC,1,True,2023-05-25 15:00:00,2023-05-28 15:00:00,0,WestJet,51.114,-114.02,451.28,153982,False,451.28,451.28
160754-aae2d0adf0024b27a3249d53ba42918c,LGA,ottawa,YOW,1,True,2023-07-08 14:00:00,2023-07-12 14:00:00,1,Air Canada,45.323,-75.669,93.62,160754,False,93.62,93.62
164522-cfc23c8020cd4637b310a1f99dde08b0,MCI,new york,JFK,1,True,2023-02-17 15:00:00,2023-03-04 15:00:00,1,British Airways,40.64,-73.779,328.32,164522,False,328.32,328.32
171470-3c9552d5b3b0401e82cb943b28eef629,ATL,bangkok,BKK,2,True,2023-03-11 09:00:00,2023-03-26 09:00:00,1,Shanghai Airlines,13.912,100.607,5281.57,171470,True,5281.57,2640.785
171470-dbac73113fbe4a5aa537f55f976f63e7,ATL,johor bahru,JHB,1,True,2024-03-28 11:00:00,2024-04-11 11:00:00,0,Indonesia AirAsia,1.641,103.669,2878.25,171470,True,2878.25,2878.25
174997-8e29b10835bf45be9e29def0e050632f,GRR,los angeles,LAX,1,True,2023-02-06 09:00:00,2023-02-10 09:00:00,0,JetBlue Airways,33.942,-118.408,548.79,174997,False,548.79,548.79
174997-a7c3a96620594e849a2345ac4e0bd45d,GRR,warsaw,WAW,2,True,2023-01-18 17:00:00,2023-01-26 17:00:00,1,Air Serbia,52.166,20.967,2636.06,174997,True,2636.06,1318.03
174997-bb786d84df2e45c18644c5e98ad9863a,GRR,chicago,ORD,1,True,2023-03-14 09:00:00,2023-03-17 09:00:00,0,American Airlines,41.786,-87.752,41.64,174997,False,41.64,41.64
175032-6bfef29e936140d8b1046e25e814e826,IAH,memphis,MEM,1,True,2023-05-13 07:00:00,2023-05-15 07:00:00,1,American Airlines,35.042,-89.977,151.66,175032,False,151.66,151.66
175032-d828723bb52a4f558d3ecc9123248b24,IAH,las vegas,LAS,3,True,2023-03-12 07:00:00,2023-03-17 07:00:00,0,WestJet,36.08,-115.152,957.59,175032,False,957.59,319.19666666666666
181157-41b92f311649499a84c7c0b2de125c52,HOU,oklahoma city,OKC,1,True,2023-03-22 07:00:00,2023-03-24 07:00:00,1,JetBlue Airways,35.393,-97.601,121.6,181157,False,121.6,121.6
181157-4a83fa4f56da482886b9f342587ccaad,HOU,los angeles,LSQ,1,True,2023-04-03 11:00:00,2023-04-07 11:00:00,0,United Airlines,33.942,-118.408,381.8,181157,False,381.8,381.8
181157-9d86219fb6574ef291b265f78e291c04,HOU,oklahoma city,OKC,4,True,2023-01-16 07:00:00,2023-01-24 07:00:00,2,Air France,35.393,-97.601,536.03,181157,False,536.03,134.0075
182191-de32473e56244ac3bed8490f76398b2f,PHX,portland,PDX,2,True,2023-01-24 07:00:00,2023-02-09 07:00:00,1,Alaska Airlines,45.589,-122.597,537.67,182191,True,537.67,268.835
187212-86cfe034180e467f960a33c6042d391e,LAX,new york,JFK,1,True,2023-01-16 07:00:00,2023-01-18 07:00:00,1,JetBlue Airways,40.64,-73.779,722.46,187212,False,722.46,722.46
187212-ec2aeb37588f4e55a656bce91d862d4d,LAX,winnipeg,YAV,1,True,2023-03-11 13:00:00,2023-03-17 13:00:00,1,American Airlines,50.056,-97.032,427.04,187212,False,427.04,427.04
187212-fd70ca21a2ed45a7ad8962104bd8eef3,LAX,san francisco,SFO,1,True,2023-01-27 10:00:00,2023-01-29 10:00:00,0,United Airlines,37.619,-122.375,93.07,187212,False,93.07,93.07
189676-d82f8d64d6934020a5b88f5e53625b0b,FTW,san jose,SJC,3,True,2023-05-08 08:00:00,2023-05-14 08:00:00,2,American Airlines,37.362,-121.929,1244.31,189676,False,1244.31,414.77
190866-01ce76bc015142ba8465f9b64661d16b,TLH,portland,PWM,1,True,2023-02-24 07:00:00,2023-02-26 07:00:00,1,Delta Air Lines,45.589,-122.597,727.28,190866,False,727.28,727.28
190866-31bac5592ab34ca79d205067a26f9fd3,TLH,jacksonville,NIP,1,True,2023-04-26 15:00:00,2023-04-29 15:00:00,1,Ryanair,30.494,-81.688,45.75,190866,False,45.75,45.75
190866-39f7fdf3561541bd990b5bca9c8c18d1,TLH,toronto,YZD,1,True,2023-03-28 12:00:00,2023-03-29 12:00:00,0,Ryanair,43.862,-79.37,236.53,190866,False,236.53,236.53
190866-7c8104b4b7c746cc9e9e11c02721f5f3,TLH,denver,DEN,1,True,2023-01-17 14:00:00,2023-01-25 14:00:00,0,Delta Air Lines,39.858,-104.667,390.86,190866,False,390.86,390.86
190866-8aa5d82d788441fdbc8ce8046118b5f7,TLH,portland,PDX,1,True,2023-07-12 12:00:00,2023-07-14 12:00:00,0,Alaska Airlines,45.589,-122.597,680.58,190866,False,680.58,680.58
195192-f810ae7ac3cd493e9aed47e52ffc47ad,MDW,new york,LGA,2,True,2023-05-01 07:00:00,2023-05-04 07:00:00,0,Spirit Airlines,40.64,-73.779,394.29,195192,False,394.29,197.145
204943-07ddf3a4d2a34e03befdbd07c78d9aab,YOW,new york,LGA,3,True,2023-03-06 07:00:00,2023-03-09 07:00:00,0,KLM Royal Dutch Airlines,40.64,-73.779,267.58,204943,False,267.58,89.19333333333333
204943-104f0428d48b41548c8c62045d2b3af7,YOW,new york,JFK,1,True,2023-03-28 13:00:00,2023-03-31 13:00:00,1,JetBlue Airways,40.64,-73.779,94.73,204943,False,94.73,94.73
204943-5efc41a2816e4e9384c6356f547860e2,YOW,san antonio,SAT,1,True,2023-12-30 07:00:00,2024-01-17 07:00:00,1,American Airlines,29.529,-98.279,490.59,204943,True,490.59,490.59
204943-656e11c4dfbd4fd09af3bf2a43847c91,YOW,vancouver,YVR,2,True,2023-06-07 07:00:00,2023-06-12 07:00:00,5,WestJet,49.195,-123.182,1394.39,204943,False,1394.39,697.195
204943-c25cba66042a4eedbd104c03b8f560ac,YOW,san antonio,SVZ,1,True,2023-05-07 14:00:00,2023-05-13 14:00:00,1,Conviasa,29.529,-98.279,487.59,204943,False,487.59,487.59
204943-e103afe555e14eb7bcb7bd424373781b,YOW,new york,LGA,1,True,2023-02-18 11:00:00,2023-02-23 11:00:00,0,Delta Air Lines,40.64,-73.779,106.29,204943,False,106.29,106.29
204997-303a3759d5814673b7c60db793d46cdd,MCI,antalya,AYT,2,True,2023-02-13 07:00:00,2023-02-24 07:00:00,2,SunExpress,36.901,30.792,3500.64,204997,True,3500.64,1750.32
204997-6b979d8b30ad4c6db1e8830744514dfd,MCI,new york,JFK,1,True,2023-03-25 09:00:00,2023-04-01 09:00:00,0,JetBlue Airways,40.64,-73.779,351.18,204997,False,351.18,351.18
204997-7de2de0693be4c16963e23f7f90bd324,MCI,charlotte,CLT,2,True,2023-05-19 15:00:00,2023-05-23 15:00:00,0,JetBlue Airways,35.214,-80.943,483.26,204997,True,483.26,241.63
204997-d89a2fc9a1ad4e20aa002bc920bef94e,MCI,fort worth,FTW,1,True,2023-07-19 16:00:00,2023-07-26 16:00:00,1,Delta Air Lines,32.82,-97.362,137.29,204997,False,137.29,137.29
205044-619fb284553641018f607638222e3d7a,YKZ,los angeles,LAX,3,True,2023-02-02 10:00:00,2023-02-11 10:00:00,0,American Airlines,33.942,-118.408,1971.19,205044,False,1971.19,657.0633333333334
205044-6a83290ce87944688828793c667aacc4,YKZ,philadelphia,PHL,2,True,2023-05-11 07:00:00,2023-05-16 07:00:00,0,United Airlines,39.872,-75.241,224.11,205044,False,224.11,112.055
205044-f61d45c578494235b07698e919cf97f5,YKZ,los angeles,LSQ,1,True,2023-03-16 08:00:00,2023-03-19 08:00:00,1,Ryanair,33.942,-118.408,553.05,205044,False,553.05,553.05
206011-1eee865398c846379976aa1a8f76608f,MCI,san jose,SJI,1,True,2023-05-09 08:00:00,2023-05-10 08:00:00,1,Cebu Pacific,37.362,-121.929,436.36,206011,False,436.36,436.36
206011-8fc24301a4cc4f2c8abdda9d16143315,MCI,indianapolis,IND,1,True,2023-02-21 11:00:00,2023-03-01 11:00:00,0,Virgin Australia,39.717,-86.294,128.3,206011,False,128.3,128.3
206011-b637adcdce88483385e6d6e9c21cdf45,MCI,chicago,ORD,1,True,2023-03-20 15:00:00,2023-03-22 15:00:00,0,United Airlines,41.786,-87.752,112.33,206011,False,112.33,112.33
206011-d024180797604060aa901a3c0e38c294,MCI,san diego,NZY,1,True,2023-04-21 07:00:00,2023-04-23 07:00:00,0,American Airlines,32.699,-117.215,369.6,206011,False,369.6,369.6
216796-e239539111354f4e9d333877dde83ae0,CVG,barcelona,BCN,2,True,2023-09-22 07:00:00,2023-10-03 07:00:00,2,Ryanair,41.297,2.078,2500.87,216796,True,2500.87,1250.435
217136-debe4a6e757c404e84b4f53a4c006c88,LIT,seattle,BFI,1,True,2023-02-01 14:00:00,2023-02-04 14:00:00,0,Kenmore Air,47.53,-122.302,539.57,217136,False,539.57,539.57
220725-638213bd858048888b6a4504cf3345a9,SCK,chicago,UGN,1,True,2023-02-02 12:00:00,2023-02-09 12:00:00,0,United Airlines,41.786,-87.752,479.01,220725,False,479.01,479.01
220725-a5218b48eac54e23b70fdd1f03243f25,SCK,new york,LGA,1,True,2023-05-17 13:00:00,2023-05-22 13:00:00,1,JetBlue Airways,40.64,-73.779,719.21,220725,False,719.21,719.21
220725-eb0e853482fa42d9b5014776cb96a9f6,SCK,austin,AUS,1,True,2023-06-12 10:00:00,2023-06-17 10:00:00,0,Air France,30.194,-97.67,335.2,220725,False,335.2,335.2
220725-ede7d3bf960044e4b519a30dcb3f9294,SCK,san antonio,SAT,1,True,2023-03-03 13:00:00,2023-03-09 13:00:00,0,AirTran Airways,29.529,-98.279,444.75,220725,True,444.75,444.75
224996-c34a8b2b883e40c99ba34f179d419625,YHZ,calgary,YYC,1,True,2023-02-23 07:00:00,2023-02-25 07:00:00,0,Air Canada,51.114,-114.02,728.23,224996,False,728.23,728.23
224996-c83b5f33943b4cbf8ec93049c6fb6166,YHZ,new york,JFK,1,True,2023-05-20 15:00:00,2023-05-23 15:00:00,0,JetBlue Airways,40.64,-73.779,169.38,224996,False,169.38,169.38
226367-0c1be8e577e34f2991d2826b366683ed,IAD,los angeles,LAX,1,True,2023-03-30 07:00:00,2023-04-02 07:00:00,1,AirTran Airways,33.942,-118.408,621.31,226367,False,621.31,621.31
226367-c37ef7148c7b472cbf1370cf26bc0211,IAD,new york,JFK,2,True,2023-03-14 10:00:00,2023-03-17 10:00:00,0,Allegiant Air,40.64,-73.779,112.18,226367,False,112.18,56.09
226367-f4e28e54697a4449b5665c34db916170,IAD,chicago,ORD,1,True,2023-07-05 14:00:00,2023-07-08 14:00:00,1,Air Canada,41.786,-87.752,155.72,226367,False,155.72,155.72
228872-b0e666f7f86e45b99a955600d0aa21fc,RND,portland,PDX,1,True,2023-05-30 07:00:00,2023-06-05 07:00:00,1,American Airlines,45.589,-122.597,509.21,228872,False,509.21,509.21
229108-b5c1cf29f6cb4c0b9d0970ee489b68be,BTV,austin,AUS,1,True,2023-09-14 12:00:00,2023-09-21 12:00:00,0,KLM Royal Dutch Airlines,30.194,-97.67,438.61,229108,True,438.61,438.61
229330-12d72a1abd82462f932708f01e870be2,COS,los angeles,LAX,2,True,2023-07-30 07:00:00,2023-08-01 07:00:00,0,Virgin America,33.942,-118.408,499.02,229330,False,499.02,249.51
229330-b73ffe29221b40a086cd0107f85eac2b,COS,san antonio,RND,1,True,2023-02-26 15:00:00,2023-03-02 15:00:00,0,United Airlines,29.529,-98.279,213.01,229330,False,213.01,213.01
229330-c2bd44d619d74056b0de1610d23cda24,COS,fort worth,FTW,2,True,2023-06-16 13:00:00,2023-06-22 13:00:00,0,Ryanair,32.82,-97.362,330.57,229330,False,330.57,165.285
229330-d4a91967362b4441913d13f5bc8156a3,COS,los angeles,LSQ,2,True,2023-01-29 08:00:00,2023-01-31 08:00:00,1,American Airlines,33.942,-118.408,505.51,229330,False,505.51,252.755
249521-67f87434c2c5448e932d66ada4f333b7,YOW,vancouver,YVR,1,True,2023-03-15 13:00:00,2023-03-18 13:00:00,1,Air Canada,49.195,-123.182,642.02,249521,False,642.02,642.02
252835-2a1046819a9e46a8801604ea093a920d,ORD,new york,LGA,1,True,2023-07-19 10:00:00,2023-07-23 10:00:00,1,Delta Air Lines,40.64,-73.779,218.13,252835,False,218.13,218.13
252835-83436d3a5b194c72b7745b2f3a48b9a6,ORD,edmonton,YED,1,True,2023-01-15 07:00:00,2023-01-19 07:00:00,1,American Airlines,53.667,-113.467,389.21,252835,False,389.21,389.21
252835-b2f4e4f98d404af29d3036097e25c3f4,ORD,phoenix,PHX,1,True,2023-02-24 10:00:00,2023-03-01 10:00:00,0,Southwest Airlines,33.535,-112.383,421.95,252835,False,421.95,421.95
252835-b31818f3263d451ba1e2bd4c9b03a11b,ORD,new york,JFK,1,True,2023-05-04 08:00:00,2023-05-06 08:00:00,0,TAM Brazilian Airlines,40.64,-73.779,203.05,252835,False,203.05,203.05
252835-db62add9d6364162adc85cc234a12552,ORD,phoenix,PHX,1,True,2023-03-21 10:00:00,2023-03-27 10:00:00,1,American Airlines,33.535,-112.383,444.21,252835,False,444.21,444.21
264470-2cb99eac1ed44324b94c452f389f5ee1,BFL,new york,LGA,1,True,2023-03-03 07:00:00,2023-03-07 07:00:00,0,Delta Air Lines,40.64,-73.779,756.05,264470,False,756.05,756.05
264470-c44b4d9de46f42d5b74d5a6bd5360fc4,BFL,phoenix,PHX,1,True,2023-04-04 07:00:00,2023-04-11 07:00:00,1,Southwest Airlines,33.535,-112.383,116.97,264470,False,116.97,116.97
276512-5f6e5f4d3d124bfd90a407d450a55c2e,AUS,philadelphia,PNE,1,True,2023-02-03 16:00:00,2023-02-06 16:00:00,1,United Airlines,39.872,-75.241,395.69,276512,False,395.69,395.69
281952-bd03b395742b4790bcd3656dd319a60f,LOU,calgary,YYC,1,True,2023-07-19 07:00:00,2023-07-21 07:00:00,2,WestJet,51.114,-114.02,484.87,281952,False,484.87,484.87
281952-e45eebaa33114910a96edc7e5f3b0a4f,LOU,new york,LGA,1,True,2023-03-20 07:00:00,2023-03-22 07:00:00,1,Delta Air Lines,40.64,-73.779,199.85,281952,False,199.85,199.85
283325-dd763c2d6d334b3790266b500393438e,DAL,quebec,YQB,1,True,2023-03-05 14:00:00,2023-03-11 14:00:00,0,Air Canada,46.788,-71.398,453.27,283325,False,453.27,453.27
290123-7cf9274ec6d24ec99f26586bf5afac14,HOU,new york,LGA,1,True,2023-01-31 07:00:00,2023-02-02 07:00:00,0,Allegiant Air,40.64,-73.779,359.38,290123,False,359.38,359.38
290123-8582f5e48e734be7ae0b651759069fdf,HOU,vancouver,YVR,3,True,2023-05-26 07:00:00,2023-05-30 07:00:00,3,American Airlines,49.195,-123.182,1836.21,290123,False,1836.21,612.07
290123-929ee123c3bd48c2870569e824a22d8b,HOU,denver,DEN,2,True,2023-07-19 10:00:00,2023-07-20 10:00:00,0,United Airlines,39.858,-104.667,515.16,290123,False,515.16,257.58
290123-95120d6c6a6f42a39c9ed57d1dbcd872,HOU,portland,PDX,2,True,2023-02-16 07:00:00,2023-02-21 07:00:00,1,Alaska Airlines,45.589,-122.597,1022.45,290123,False,1022.45,511.225
290123-b71bc6eda6154a208a72987ed5856f49,HOU,san francisco,SFO,1,True,2023-03-06 12:00:00,2023-03-07 12:00:00,1,United Airlines,37.619,-122.375,462.52,290123,False,462.52,462.52
290123-e4358bf682564d509c2e57f5d4d46d70,HOU,phoenix,LUF,1,False,2023-03-27 12:00:00,,0,Delta Air Lines,33.535,-112.383,151.81,290123,False,151.81,151.81
290123-fe57b5776cdc46eea7bbcd481b1f4707,HOU,montreal,YHU,1,True,2023-06-17 12:00:00,2023-06-20 12:00:00,1,Ryanair,45.517,-73.417,448.58,290123,False,448.58,448.58
297546-1421ae0ca10f4b0589b8c331985cd1ee,JFK,chicago,MDW,2,True,2023-05-27 10:00:00,2023-06-03 10:00:00,0,Southwest Airlines,41.786,-87.752,466.9,297546,False,466.9,233.45
297546-2654b1abe04746cf93c1b8ffd4afa658,JFK,nashville,BNA,1,True,2023-07-14 15:00:00,2023-07-20 15:00:00,1,Southwest Airlines,36.124,-86.678,236.21,297546,False,236.21,236.21
297546-7c9b77e23aca424fbb06830d1d54099a,JFK,toronto,YZD,2,True,2023-05-03 07:00:00,2023-05-05 07:00:00,1,United Airlines,43.862,-79.37,198.28,297546,False,198.28,99.14
297546-fb062a2735cf4282b5aa3ac1dfa595d0,JFK,san francisco,SFO,1,True,2023-01-22 14:00:00,2023-01-26 14:00:00,1,United Airlines,37.619,-122.375,759.33,297546,False,759.33,759.33
298253-8b6947f21c7f4bcd8e9a8a2ce19a9fd8,LAX,new york,JFK,1,True,2023-04-05 07:00:00,2023-04-07 07:00:00,2,Allegiant Air,40.64,-73.779,712.42,298253,False,712.42,712.42
299476-951bbd21c4d44e82b45a63f926e0d08d,ATL,houston,HOU,1,True,2023-01-23 15:00:00,2023-01-26 15:00:00,0,AirTran Airways,29.607,-95.159,192.38,299476,False,192.38,192.38
306819-52007b6c34ed4a00903aabbc475b3812,JFK,baltimore,BWI,1,True,2023-04-11 16:00:00,2023-04-14 16:00:00,1,Delta Air Lines,39.175,-76.668,50.16,306819,False,50.16,50.16
306819-da954dd34eb04a1aae77afaa4088874c,JFK,hamilton,YHM,1,True,2023-02-06 09:00:00,2023-02-08 09:00:00,0,WestJet,43.173,-79.935,110.0,306819,True,110.0,110.0
312488-373f10484f764569a69d49d632dbbeaf,JFK,fort worth,FTW,1,True,2023-07-16 07:00:00,2023-07-17 07:00:00,1,United Airlines,32.82,-97.362,407.1,312488,False,407.1,407.1
313724-1c9ccaaef4894f429e885bff7fb67d52,TUL,hamilton,HLZ,2,True,2023-04-14 07:00:00,2023-04-19 07:00:00,0,Air New Zealand,43.173,-79.935,578.0,313724,False,578.0,289.0
313724-421019c3a541444ab74122e8b13de67a,TUL,los angeles,LSQ,1,True,2023-07-04 07:00:00,2023-07-07 07:00:00,1,American Airlines,33.942,-118.408,377.23,313724,True,377.23,377.23
313724-5ff715143f1d48248171238f11446d82,TUL,ottawa,YOW,1,True,2023-01-11 08:00:00,2023-01-13 08:00:00,1,Air Canada,45.323,-75.669,351.51,313724,False,351.51,351.51
313724-d2ffb53da1934e62a25aa1c234d6afd6,TUL,jacksonville,NZC,1,True,2023-02-07 12:00:00,2023-02-11 12:00:00,1,Ryanair,30.494,-81.688,227.33,313724,False,227.33,227.33
316527-3ef313410f614324a83797a196de0045,YWG,ottawa,YOW,1,True,2023-03-13 15:00:00,2023-03-18 15:00:00,1,Air Canada,45.323,-75.669,277.05,316527,False,277.05,277.05
316527-4d59510a8aea4e3394b86c3e4fbeec2b,YWG,san antonio,SKF,1,True,2023-04-27 07:00:00,2023-04-29 07:00:00,0,United Airlines,29.529,-98.279,413.67,316527,False,413.67,413.67
316527-70f5d68eca3e4a03b3f8373892ebdf00,YWG,washington,IAD,1,True,2023-01-21 10:00:00,2023-01-28 10:00:00,0,JetBlue Airways,38.852,-77.037,352.42,316527,False,352.42,352.42
316527-f0d848bc5f904c8e891e15b1f35431a7,YWG,new york,LGA,2,True,2023-02-18 07:00:00,2023-02-21 07:00:00,0,Southwest Airlines,40.64,-73.779,696.75,316527,False,696.75,348.375
317688-330043091df746efbaa0e08460a7175d,IND,tucson,TUS,1,True,2023-01-19 14:00:00,2023-01-23 14:00:00,1,AirTran Airways,32.166,-110.883,462.52,317688,False,462.52,462.52
317688-50bd718819464c08a20116e006d35a32,IND,edmonton,YED,1,True,2023-07-19 10:00:00,2023-07-20 10:00:00,1,United Airlines,53.667,-113.467,500.75,317688,False,500.75,500.75
317688-56658499df774272933bb1d4394a1d28,IND,fort worth,FTW,1,True,2023-06-10 09:00:00,2023-06-12 09:00:00,0,United Airlines,32.82,-97.362,229.35,317688,False,229.35,229.35
317688-a1d5ce3c24d448c798ef1ad8f409f53c,IND,chicago,MDW,1,True,2023-03-22 16:00:00,2023-03-26 16:00:00,0,Southwest Airlines,41.786,-87.752,46.12,317688,False,46.12,46.12
322867-df9e210c26344937986fa30475a1aa72,BFM,austin,AUS,1,True,2023-01-25 10:00:00,2023-02-02 10:00:00,1,American Airlines,30.194,-97.67,173.04,322867,False,173.04,173.04
324191-530436df83534176adc297ce9e72b2f5,SAN,los angeles,LSQ,1,True,2023-03-28 09:00:00,2023-04-06 09:00:00,0,Delta Air Lines,33.942,-118.408,29.27,324191,False,29.27,29.27
324191-b58eed3c6e324cdb9f251306c330367a,SAN,los angeles,LAX,2,True,2023-02-23 16:00:00,2023-02-26 16:00:00,1,AirTran Airways,33.942,-118.408,70.47,324191,False,70.47,35.235
328590-7fc7fff749b0418eb11d9ab612beb2ad,NZY,louisville,LOU,3,True,2023-05-26 16:00:00,2023-06-02 16:00:00,1,American Airlines,38.228,-85.664,1601.03,328590,False,1601.03,533.6766666666666
328590-a0ff43fcbb544ffa87f7b0ac720b3e29,NZY,new york,LGA,1,True,2023-03-25 09:00:00,2023-03-26 09:00:00,0,WestJet,40.64,-73.779,726.33,328590,True,726.33,726.33
328590-a6a8688bd81d460ab256051624c20d6b,NZY,detroit,DTW,1,True,2023-02-04 16:00:00,2023-02-10 16:00:00,0,Spirit Airlines,42.409,-83.01,602.92,328590,False,602.92,602.92
330764-c2c99cb7796b4d788bb63445fc470567,DET,ottawa,YOW,3,True,2023-03-27 08:00:00,2023-03-28 08:00:00,1,WestJet,45.323,-75.669,375.52,330764,True,375.52,125.17333333333333
330893-0ba8e96077604b96b3f1c69709b5ce82,OKC,new york,LGA,1,True,2023-01-24 07:00:00,2023-01-29 07:00:00,1,Delta Air Lines,40.64,-73.779,382.9,330893,False,382.9,382.9
330893-294aeae95e34474e92d96138765eed6f,OKC,houston,IAH,1,True,2023-07-05 07:00:00,2023-07-07 07:00:00,1,Spirit Airlines,29.607,-95.159,130.47,330893,False,130.47,130.47
330893-44e52c2f81644e9f9ca5da49a28a323c,OKC,los angeles,LSQ,1,True,2023-04-23 13:00:00,2023-04-26 13:00:00,0,United Airlines,33.942,-118.408,348.24,330893,False,348.24,348.24
331039-aeea9e6e87ab49bc9d6012a4162d82d2,YXU,los angeles,LAX,4,True,2023-12-14 21:00:00,2023-12-24 21:00:00,3,American Airlines,33.942,-118.408,2290.87,331039,True,2290.87,572.7175
334787-6761c9b95343412bbe37434c2ec3b9c5,MSP,ottawa,YOW,1,True,2023-02-20 07:00:00,2023-02-22 07:00:00,1,WestJet,45.323,-75.669,254.02,334787,False,254.02,254.02
334787-799b787d7118452599b33b001006d631,MSP,boston,BOS,1,True,2023-03-18 08:00:00,2023-03-20 08:00:00,0,United Airlines,42.364,-71.005,329.7,334787,False,329.7,329.7
