"trip_id","hotel_name","nights","rooms","check_in_time","check_out_time","hotel_per_room_usd"
"195192-f810ae7ac3cd493e9aed47e52ffc47ad","NH Hotel  - new york","1","2","2023-05-01 10:28:04.89","2023-05-02 11:00:00","160"
"204943-07ddf3a4d2a34e03befdbd07c78d9aab","Aman Resorts - new york","2","3","2023-03-06 09:40:43.05","2023-03-08 11:00:00","230"
"204943-104f0428d48b41548c8c62045d2b3af7","Four Seasons - new york","0","1","2023-03-28 15:40:43.05","2023-03-29 11:00:00","53"
"204943-5efc41a2816e4e9384c6356f547860e2","InterContinental  - san antonio","17","1","2023-12-30 12:18:09.99","2024-01-17 11:00:00","286"
"204943-656e11c4dfbd4fd09af3bf2a43847c91","Rosewood - vancouver","4","2","2023-06-07 13:26:23.1","2023-06-12 11:00:00","124"
"204943-c25cba66042a4eedbd104c03b8f560ac","Banyan Tree  - san antonio","4","1","2023-05-07 19:18:09.99","2023-05-12 11:00:00","42"
"204943-e103afe555e14eb7bcb7bd424373781b","Accor - new york","4","1","2023-02-18 13:40:43.05","2023-02-23 11:00:00","320"
"204997-303a3759d5814673b7c60db793d46cdd","Crowne Plaza - antalya","10","1","2023-02-13 21:20:35.835","2023-02-24 11:00:00","372"
"204997-7de2de0693be4c16963e23f7f90bd324","Crowne Plaza - charlotte","2","2","2023-05-19 18:37:25.23","2023-05-22 11:00:00","83"
"204997-d89a2fc9a1ad4e20aa002bc920bef94e","Banyan Tree  - fort worth","4","1","2023-07-19 18:56:52.89","2023-07-24 11:00:00","71"
"205044-619fb284553641018f607638222e3d7a","Wyndham - los angeles","8","3","2023-02-02 16:23:44.385","2023-02-11 11:00:00","117"
"205044-6a83290ce87944688828793c667aacc4","Accor - philadelphia","4","2","2023-05-11 09:41:59.82","2023-05-15 11:00:00","262"
"205044-f61d45c578494235b07698e919cf97f5","Aman Resorts - los angeles","2","1","2023-03-16 14:23:44.385","2023-03-19 11:00:00","369"
"206011-1eee865398c846379976aa1a8f76608f","Hilton - san jose","0","1","2023-05-09 12:58:05.925","2023-05-10 11:00:00","83"
"206011-8fc24301a4cc4f2c8abdda9d16143315","Aman Resorts - indianapolis","7","1","2023-02-21 13:54:16.245","2023-03-01 11:00:00","133"
"206011-d024180797604060aa901a3c0e38c294","Wyndham - san diego","1","1","2023-04-21 11:40:57.315","2023-04-22 11:00:00","124"
"216796-e239539111354f4e9d333877dde83ae0","Conrad  - barcelona","10","1","2023-09-22 17:48:06.66","2023-10-03 11:00:00","241"
"217136-27d086ff51bb425791cc1a35c10d6a6c","Banyan Tree  - fresno","3","1","2023-03-30 11:00:00","2023-04-02 11:00:00","93"
"217136-debe4a6e757c404e84b4f53a4c006c88","Fairmont - seattle","1","1","2023-02-01 19:35:02.94","2023-02-03 11:00:00","380"
"220725-a5218b48eac54e23b70fdd1f03243f25","Radisson  - new york","3","1","2023-05-17 20:03:33.57","2023-05-21 11:00:00","158"
"220725-eb0e853482fa42d9b5014776cb96a9f6","Starwood  - austin","4","1","2023-06-12 14:54:27.63","2023-06-17 11:00:00","122"
"220725-ede7d3bf960044e4b519a30dcb3f9294","Rosewood - san antonio","4","1","2023-03-03 17:53:16.71","2023-03-08 11:00:00","110"
"224996-c83b5f33943b4cbf8ec93049c6fb6166","Banyan Tree  - new york","0","1","2023-05-20 18:12:04.095","2023-05-21 11:00:00","231"
"226367-0c1be8e577e34f2991d2826b366683ed","Rosewood - los angeles","2","1","2023-03-30 13:35:33.18","2023-04-02 11:00:00","190"
"226367-c37ef7148c7b472cbf1370cf26bc0211","Best Western - new york","2","2","2023-03-14 12:27:28.665","2023-03-17 11:00:00","305"
"226367-f4e28e54697a4449b5665c34db916170","Wyndham - chicago","1","1","2023-07-05 17:09:31.77","2023-07-07 11:00:00","264"
"228872-034a816c5cae4396849dbd1f56884050","Hilton - quebec","8","1","2023-07-23 11:00:00","2023-07-31 11:00:00","116"
"228872-b0e666f7f86e45b99a955600d0aa21fc","Wyndham - portland","5","1","2023-05-30 12:27:45.99","2023-06-05 11:00:00","72"
"229009-406ee07a72a74789bb7b0f5bf0730fe0","Wyndham - edmonton","1","1","2023-05-27 14:18:53.46","2023-05-29 11:00:00","124"
"229009-ba2187427f744c7ebf94319be37826ec","InterContinental  - new york","2","1","2023-03-24 14:03:33.57","2023-03-27 11:00:00","175"
"229330-12d72a1abd82462f932708f01e870be2","Banyan Tree  - los angeles","1","2","2023-07-30 10:40:26.985","2023-07-31 11:00:00","98"
"229330-b73ffe29221b40a086cd0107f85eac2b","Extended Stay  - san antonio","1","1","2023-02-26 18:29:05.64","2023-02-28 11:00:00","229"
"229330-c2bd44d619d74056b0de1610d23cda24","Hilton - fort worth","4","2","2023-06-16 16:10:20.505","2023-06-21 11:00:00","346"
"229330-d4a91967362b4441913d13f5bc8156a3","Extended Stay  - los angeles","0","2","2023-01-29 11:40:26.985","2023-01-29 11:00:00","164"
"232647-d307e0abd4e8468985d1ddbb9519633b","Wyndham - montreal","11","1","2023-01-26 11:00:00","2023-02-06 11:00:00","213"
"23557-0c179482e53242b1b28d90c33dfa6050","InterContinental  - new york","2","1","2023-03-09 11:00:00","2023-03-11 11:00:00","263"
"23557-753d651e2b6a493080bcf880b1ce7cba","Extended Stay  - calgary","18","2","2023-07-25 11:00:00","2023-08-12 11:00:00","91"
"249521-67f87434c2c5448e932d66ada4f333b7","Extended Stay  - vancouver","1","1","2023-03-15 19:26:23.1","2023-03-17 11:00:00","175"
"249521-f09c9fe5487349379ac1b9f0610eb536","Four Seasons - toronto","2","1","2023-07-11 11:00:00","2023-07-13 11:00:00","108"
"252835-2a1046819a9e46a8801604ea093a920d","Radisson  - new york","3","1","2023-07-19 13:29:04.92","2023-07-23 11:00:00","77"
"252835-83436d3a5b194c72b7745b2f3a48b9a6","Hilton - edmonton","3","1","2023-01-15 11:51:40.32","2023-01-18 11:00:00","140"
"252835-b2f4e4f98d404af29d3036097e25c3f4","Shangri-La - phoenix","4","1","2023-02-24 14:55:17.445","2023-03-01 11:00:00","165"
"252835-b31818f3263d451ba1e2bd4c9b03a11b","Marriott  - new york","1","1","2023-05-04 11:29:04.92","2023-05-05 11:00:00","149"
"258451-69d3c630b048471891772154fd235670","Banyan Tree  - toronto","13","1","2023-06-21 11:00:00","2023-07-04 11:00:00","178"
"264470-2cb99eac1ed44324b94c452f389f5ee1","Four Seasons - new york","3","1","2023-03-03 13:57:15.255","2023-03-07 11:00:00","91"
"264470-c44b4d9de46f42d5b74d5a6bd5360fc4","Hyatt - phoenix","6","1","2023-04-04 09:48:31.185","2023-04-10 11:00:00","309"
"276512-5f6e5f4d3d124bfd90a407d450a55c2e","Wyndham - philadelphia","1","1","2023-02-03 20:52:26.175","2023-02-05 11:00:00","100"
"281952-bd03b395742b4790bcd3656dd319a60f","Fairmont - calgary","1","1","2023-07-19 12:17:40.245","2023-07-21 11:00:00","85"
"281952-e45eebaa33114910a96edc7e5f3b0a4f","Aman Resorts - new york","1","1","2023-03-20 10:19:04.89","2023-03-21 11:00:00","178"
"283325-d90c72771fc14afe97d93355e1f801d9","Starwood  - charlotte","2","2","2023-07-05 11:00:00","2023-07-07 11:00:00","194"
"283325-dd763c2d6d334b3790266b500393438e","Wyndham - quebec","4","1","2023-03-05 19:18:46.935","2023-03-10 11:00:00","527"
"290123-7cf9274ec6d24ec99f26586bf5afac14","Crowne Plaza - new york","0","1","2023-01-31 11:52:12.585","2023-01-31 11:00:00","222"
"290123-8582f5e48e734be7ae0b651759069fdf","Radisson  - vancouver","3","3","2023-05-26 13:00:10.035","2023-05-30 11:00:00","162"
"290123-929ee123c3bd48c2870569e824a22d8b","Four Seasons - denver","0","2","2023-07-19 13:46:35.715","2023-07-20 11:00:00","400"
"290123-95120d6c6a6f42a39c9ed57d1dbcd872","Wyndham - portland","4","2","2023-02-16 12:42:19.08","2023-02-21 11:00:00","147"
"290123-e4358bf682564d509c2e57f5d4d46d70","Aman Resorts - phoenix","5","1","2023-03-27 16:05:35.52","2023-04-02 11:00:00","110"
"290123-fe57b5776cdc46eea7bbcd481b1f4707","Rosewood - montreal","1","1","2023-06-17 17:14:45.375","2023-06-19 11:00:00","399"
"297546-1421ae0ca10f4b0589b8c331985cd1ee","Rosewood - chicago","6","2","2023-05-27 13:28:04.89","2023-06-03 11:00:00","101"
"297546-2654b1abe04746cf93c1b8ffd4afa658","Banyan Tree  - nashville","4","1","2023-07-14 18:32:13.965","2023-07-19 11:00:00","115"
"297546-7c9b77e23aca424fbb06830d1d54099a","Accor - toronto","1","2","2023-05-03 09:43:43.365","2023-05-04 11:00:00","97"
"297546-da703b6036da486f910bdd25e6821588","Wyndham - charlotte","13","1","2023-02-26 11:00:00","2023-03-11 11:00:00","120"
"297546-fb062a2735cf4282b5aa3ac1dfa595d0","Rosewood - san francisco","2","1","2023-01-22 21:11:22.965","2023-01-25 11:00:00","97"
"299476-951bbd21c4d44e82b45a63f926e0d08d","Radisson  - houston","1","1","2023-01-23 18:23:14.64","2023-01-25 11:00:00","71"
"306819-52007b6c34ed4a00903aabbc475b3812","Conrad  - baltimore","1","1","2023-04-11 18:22:09.165","2023-04-13 11:00:00","370"
"306819-da954dd34eb04a1aae77afaa4088874c","InterContinental  - hamilton","1","1","2023-02-06 11:43:38.55","2023-02-07 11:00:00","263"
"312488-373f10484f764569a69d49d632dbbeaf","Wyndham - fort worth","0","1","2023-07-16 11:49:54.57","2023-07-16 11:00:00","299"
"313724-1c9ccaaef4894f429e885bff7fb67d52","NH Hotel  - hamilton","4","2","2023-04-14 10:57:28.035","2023-04-18 11:00:00","102"
"313724-408f5a9f1050441c91e62dbac352ca12","Choice Hotels - san jose","9","2","2023-03-19 11:00:00","2023-03-28 11:00:00","115"
"313724-421019c3a541444ab74122e8b13de67a","Marriott  - los angeles","2","1","2023-07-04 11:34:30.405","2023-07-06 11:00:00","189"
"313724-5ff715143f1d48248171238f11446d82","Fairmont - ottawa","0","1","2023-01-11 12:28:03.09","2023-01-12 11:00:00","175"
"313724-d2ffb53da1934e62a25aa1c234d6afd6","Wyndham - jacksonville","1","1","2023-02-07 15:49:36.885","2023-02-09 11:00:00","331"
"316527-3ef313410f614324a83797a196de0045","Hilton - ottawa","3","1","2023-03-13 19:06:36.405","2023-03-17 11:00:00","78"
"316527-4d59510a8aea4e3394b86c3e4fbeec2b","Hyatt - san antonio","1","1","2023-04-27 11:50:05.865","2023-04-28 11:00:00","242"
"316527-70f5d68eca3e4a03b3f8373892ebdf00","Radisson  - washington","6","1","2023-01-21 14:30:49.455","2023-01-28 11:00:00","655"
"316527-f0d848bc5f904c8e891e15b1f35431a7","Wyndham - new york","2","2","2023-02-18 11:36:54.765","2023-02-20 11:00:00","316"
"317688-330043091df746efbaa0e08460a7175d","NH Hotel  - tucson","2","1","2023-01-19 18:56:51.45","2023-01-22 11:00:00","93"
"317688-50bd718819464c08a20116e006d35a32","Rosewood - edmonton","0","1","2023-07-19 15:12:10.485","2023-07-20 11:00:00","102"
"317688-56658499df774272933bb1d4394a1d28","Accor - fort worth","1","1","2023-06-10 12:33:55.89","2023-06-12 11:00:00","66"
"317688-a1d5ce3c24d448c798ef1ad8f409f53c","Crowne Plaza - chicago","2","1","2023-03-22 18:19:33.51","2023-03-25 11:00:00","412"
"322867-df9e210c26344937986fa30475a1aa72","Hilton - austin","7","1","2023-01-25 13:09:08.01","2023-02-02 11:00:00","189"
"324191-530436df83534176adc297ce9e72b2f5","Four Seasons - los angeles","8","1","2023-03-28 11:13:10.965","2023-04-05 11:00:00","86"
"324191-b58eed3c6e324cdb9f251306c330367a","Extended Stay  - los angeles","1","2","2023-02-23 18:13:10.965","2023-02-25 11:00:00","461"
"328590-7fc7fff749b0418eb11d9ab612beb2ad","Rosewood - louisville","5","3","2023-05-26 21:38:05.955","2023-06-01 11:00:00","155"
"328590-a6a8688bd81d460ab256051624c20d6b","Starwood  - detroit","4","1","2023-02-04 21:58:17.625","2023-02-09 11:00:00","155"
"330764-1aef496f346d4ebca8b212e88b64f5ee","Best Western - austin","5","1","2023-04-14 11:00:00","2023-04-19 11:00:00","58"
"330764-9209bcbdd9f64dfaabd24291fa39a9ac","Accor - washington","4","1","2023-01-11 11:00:00","2023-01-15 11:00:00","201"
"330893-0ba8e96077604b96b3f1c69709b5ce82","Choice Hotels - new york","4","1","2023-01-24 11:41:57.12","2023-01-28 11:00:00","112"
"330893-294aeae95e34474e92d96138765eed6f","Four Seasons - houston","1","1","2023-07-05 09:51:12.78","2023-07-06 11:00:00","66"
"330893-44e52c2f81644e9f9ca5da49a28a323c","Wyndham - los angeles","1","1","2023-04-23 17:22:57.855","2023-04-25 11:00:00","236"
"331039-aeea9e6e87ab49bc9d6012a4162d82d2","Aman Resorts - los angeles","8","2","2023-12-15 03:12:23.85","2023-12-23 11:00:00","209"
"334787-6761c9b95343412bbe37434c2ec3b9c5","Shangri-La - ottawa","1","1","2023-02-20 10:43:09.525","2023-02-21 11:00:00","62"
"334787-799b787d7118452599b33b001006d631","Best Western - boston","1","1","2023-03-18 12:15:17.415","2023-03-20 11:00:00","326"
"334787-a314717ca1fd448fa8cd8e6e36a87e97","Radisson  - columbus","4","1","2023-03-31 11:15:22.815","2023-04-04 11:00:00","119"
"338086-3f66f30804764be885dc38d4d1f6aaa8","Hyatt - dallas","0","1","2023-01-25 11:20:12.3","2023-01-25 11:00:00","50"
"338086-aacabd860b6f44f7a31cf5361e71e04c","Shangri-La - san diego","2","1","2023-05-12 19:31:38.775","2023-05-15 11:00:00","76"
"340166-d22ccea9481042408fc05c8a4adbcb77","Banyan Tree  - nashville","2","1","2023-03-29 11:00:00","2023-03-31 11:00:00","237"
"343928-47c4e1b1a5a94877858e42079e49c43f","InterContinental  - winnipeg","3","1","2023-02-21 13:42:33.075","2023-02-25 11:00:00","116"
"347778-1bc6f3542683460480d91602d0a05a22","NH Hotel  - san diego","2","1","2023-06-26 13:33:05.265","2023-06-29 11:00:00","205"
"347778-47b776c9e963450ba827728d94daa887","Hilton - detroit","2","1","2023-03-24 19:31:33.51","2023-03-27 11:00:00","250"
"347778-b9e5beb2ddd8432b8610c5776138a50c","Hyatt - new york","2","1","2023-06-09 16:29:29.535","2023-06-12 11:00:00","186"
"347778-cb5e492a205c41e889ecc74803b98b9c","Wyndham - new york","3","4","2023-02-24 17:29:29.535","2023-02-28 11:00:00","266"
"348817-83c86d10ab384052bb5bf310849dd404","Conrad  - san jose","2","1","2023-02-15 13:03:52.02","2023-02-18 11:00:00","122"
"348817-db9527cb2d0c48ef857d511287e45fb1","InterContinental  - philadelphia","2","1","2023-04-10 11:00:00","2023-04-12 11:00:00","225"
"348817-dca8b90b3fb9461c9947acd92f0f8dca","Fairmont - new york","3","1","2023-01-26 15:05:46.995","2023-01-30 11:00:00","550"
"348817-e61bf31bf85646bb8b4ac3e3d4d01530","Choice Hotels - montreal","2","1","2023-05-26 12:46:55.92","2023-05-29 11:00:00","139"
"349132-bb96c2b44f3d4f5ab2d620af4d276e1d","Hilton - indianapolis","7","1","2023-02-28 11:00:00","2023-03-07 11:00:00","277"
"349132-c07343f282594084a74ef2dc48463c44","Best Western - montreal","4","1","2023-03-28 14:27:45.45","2023-04-02 11:00:00","193"
"349132-e1efc771d650473cafce78596f667408","InterContinental  - new york","3","3","2023-01-13 12:10:53.58","2023-01-17 11:00:00","111"
"350648-8ce8d5e4cca344c8bb02f415e4c02bff","Hyatt - san antonio","3","1","2023-06-18 13:34:58.98","2023-06-22 11:00:00","185"
"353271-a9c8df26c411436c922e9e6c60ac468a","Shangri-La - new york","0","2","2023-03-22 10:29:44.52","2023-03-22 11:00:00","136"
"353694-9c54be5cd31949b5856e3108172de3d2","Marriott  - memphis","5","2","2023-07-11 11:56:01.59","2023-07-16 11:00:00","107"
"353694-ce184e9f148a4ae7ab516e4205ffe6a0","Choice Hotels - chicago","4","1","2023-02-15 16:27:17.775","2023-02-20 11:00:00","141"
"354050-42e1b16b389d4333a95edc9c9f14b8ea","Rosewood - memphis","4","1","2023-03-04 11:16:17.355","2023-03-08 11:00:00","108"
"354050-717e9641bf1b4e5788bea8dc79bcf5ca","Accor - jacksonville","1","1","2023-05-19 18:39:45.45","2023-05-21 11:00:00","432"
"354050-7c81b9f6200d4c8494c55e3c7fe4b15e","Wyndham - austin","3","2","2023-02-15 11:21:18.945","2023-02-18 11:00:00","198"
"354050-90fc029521134583943a6f4195473d56","Aman Resorts - san jose","3","1","2023-07-13 15:10:20.685","2023-07-17 11:00:00","103"
"354050-e6c9a354f6b94221b9dc7b46435ad0ff","Accor - fresno","0","1","2023-04-04 14:58:36.3","2023-04-05 11:00:00","211"
"354260-2d00e7bd39894936b6894b98a60eb682","Banyan Tree  - houston","2","1","2023-01-31 12:08:55.185","2023-02-03 11:00:00","260"
"354311-bb69dc1af2e545fda9809848e0e2d793","Radisson  - new york","3","1","2023-03-18 15:16:47.415","2023-03-22 11:00:00","97"
"354950-6d0418f056e94dcc9d90a2b9262f03aa","Rosewood - ottawa","6","1","2023-02-02 15:04:43.77","2023-02-09 11:00:00","127"
"356046-779710388c4b40a1ac0ff363816c0b59","NH Hotel  - phoenix","1","1","2023-02-05 14:13:23.745","2023-02-07 11:00:00","93"
"356046-c53c84907cac459fbcfb585d3da2dc0d","Aman Resorts - hamilton","3","2","2023-03-11 09:31:09.21","2023-03-14 11:00:00","102"
"357737-39c46ac167e141479ccfa05cd81f0fef","Crowne Plaza - new york","2","1","2023-04-24 13:54:35.865","2023-04-27 11:00:00","108"
"357737-996df5d1f37a4315be6c01d6768d3a7f","Crowne Plaza - san jose","4","1","2023-01-18 10:50:21.525","2023-01-22 11:00:00","250"
"357737-bb15e538a4684dea95866fe7473dce8d","Marriott  - new york","2","1","2023-02-23 19:54:35.865","2023-02-26 11:00:00","132"
"357737-bb3b99ba31f64d1abf1f3003a8f9238b","Extended Stay  - columbus","1","1","2023-03-12 19:56:33.99","2023-03-14 11:00:00","196"
"357737-d98f4f0c27c24812b555b6a12aa34154","Four Seasons - indianapolis","7","1","2023-07-05 11:00:00","2023-07-12 11:00:00","91"
"359072-88e181d6c0564d3e9017f4d56b5a47d2","Fairmont - quebec","2","1","2023-03-25 10:17:27.015","2023-03-27 11:00:00","117"
"359072-9cfee1f326404c8ebd1c3bcc0e18e0d6","Radisson  - memphis","3","1","2023-01-31 11:14:35.61","2023-02-03 11:00:00","81"
"359072-dd678812fa9f4ba788144a60288a70e2","Crowne Plaza - new york","1","1","2023-05-07 15:40:15.87","2023-05-09 11:00:00","213"
"359080-219ae08c18ac4c0f87da816a421f5a80","Wyndham - calgary","3","1","2023-01-13 13:05:46.995","2023-01-17 11:00:00","353"
"359080-22a6cde55622461488e2411cb9aa6ca8","Wyndham - toronto","1","1","2023-05-01 13:43:43.365","2023-05-03 11:00:00","324"
"359653-02da25f36a824d9a82b50d94a173b16f","Four Seasons - fort worth","1","1","2023-02-14 21:29:15.72","2023-02-16 11:00:00","156"
"359653-d91a8b702d8041979ed87dc54391f057","Marriott  - los angeles","2","1","2023-01-17 16:06:31.68","2023-01-20 11:00:00","274"
"361459-6a8e95de8ce848f395df58d297aef01a","Banyan Tree  - new york","1","1","2023-01-22 19:51:43.2","2023-01-24 11:00:00","165"
"361759-d3fcb136635d49248b28c2cdbbb8ec1c","Shangri-La - los angeles","0","1","2023-02-21 17:05:48.075","2023-02-22 11:00:00","88"
"361759-f10bf23083a24be68fcd9c9cdb996851","Hilton - philadelphia","0","1","2023-04-30 11:33:40.59","2023-04-30 11:00:00","88"
"361759-f3b8292104be4789998e9bae6643aa58","Hyatt - san francisco","2","1","2023-01-16 12:01:27.435","2023-01-19 11:00:00","63"
"363535-5a9d4d8bdd0c41d19fe86827d771b70a","Fairmont - montreal","0","2","2023-06-22 11:38:13.695","2023-06-22 11:00:00","123"
"363535-ae2567b185da4e3994607ce71f98a96b","NH Hotel  - phoenix","5","1","2023-01-13 20:35:57.705","2023-01-19 11:00:00","71"
"363535-ce36de338f0d47089249e24a963567d3","Crowne Plaza - dallas","3","1","2023-03-28 10:51:35.01","2023-03-31 11:00:00","273"
"365825-0c1c5ac1db13400c9ade1dae5986142b","NH Hotel  - las vegas","10","1","2023-06-19 17:28:30.09","2023-06-30 11:00:00","95"
"365825-539e54357cd34459a2ea0e1e69496117","Aman Resorts - san francisco","4","2","2023-02-03 11:00:00","2023-02-07 11:00:00","223"
"372970-10c42843088b49a6bbb6868fbec5abb0","Rosewood - portland","-1","1","2023-03-12 13:34:49.935","2023-03-12 11:00:00","132"
"372970-9591bba95d22434c95e41d1416bb3e64","Rosewood - vancouver","1","1","2023-05-29 20:41:13.425","2023-05-31 11:00:00","276"
"373489-6dffc799005146528b75488c2529afbe","Aman Resorts - osaka","12","2","2024-02-09 23:51:36.63","2024-02-22 11:00:00","51"
"374331-38821f71592d48f2a199f94e8489f887","Best Western - phoenix","12","2","2023-01-21 11:00:00","2023-02-02 11:00:00","280"
"374341-3e753392819541d8b3817d3d825b400c","Hilton - toronto","9","2","2023-04-21 11:00:00","2023-04-30 11:00:00","219"
"374341-6c512930b3a1482fa25fd234f2681436","Banyan Tree  - san francisco","7","3","2023-06-06 11:00:00","2023-06-13 11:00:00","98"
